Atlanta Braves, Brian Snitker
Miami Marlins, Don Mattingly
New York Mets, Mickey Callaway
Philadelphia Phillies, Gabe Kapler
Washington Nationals, Dave Martinez
Chicago Cubs, Joe Maddon
Cincinnati Reds, Bryan Price
Milwaukee Brewers, Craig Counsell
Pittsburgh Pirates, Clint Hurdle
St. Louis Cardinals, Mike Matheny
Arizona Diamondbacks, Torey Lovullo
Colorado Rockies, Bud Black
Los Angeles Dodgers, Dave Roberts
San Diego Padres, Andy Green
San Francisco Giants, Bruce Bochy
Baltimore Orioles, Buck Showalter
Boston Red Sox, Alex Cora
New York Yankees, Aaron Boone
Tampa Bay Rays, Kevin Cash
Toronto Blue Jays, John Gibbons
Chicago White Sox, Rick Renteria
Cleveland Indians, Terry Francona
Detroit Tigers, Ron Gardenhire
Kansas City Royals, Ned Yost
Minnesota Twins, Paul Molitor
Houston Astros, A.J. Hinch
Los Angeles Angels, Mike Scioscia
Oakland Athletics, Bob Melvin
Seattle Mariners, Scott Servais
Texas Rangers, Jeff Banister
